MsgID.STATE,0.0000000,True,True,1
MsgID.LOCAL_POSITION,33.0350000,0.9405771,1.9846209,-4.9765863
MsgID.LOCAL_VELOCITY,33.0350000,1.4121429,1.3590549,-0.0520887
MsgID.GLOBAL_POSITION,0.0000000,-122.3974282,37.7924940,4.9720000
MsgID.LOCAL_VELOCITY,0.0000000,1.6300000,1.5400000,0.0200000
MsgID.LOCAL_POSITION,33.2850000,1.5039921,2.2278888,-4.9726892
MsgID.LOCAL_VELOCITY,33.2850000,1.6374893,1.5412350,0.0260510
MsgID.GLOBAL_POSITION,0.0000000,-122.3974224,37.7924962,4.9570000
MsgID.LOCAL_VELOCITY,0.0000000,1.4600000,1.6200000,-0.0800000
MsgID.LOCAL_POSITION,33.5350000,1.7576879,2.7450173,-4.9574127
MsgID.LOCAL_VELOCITY,33.5350000,1.4691746,1.6274620,-0.0827805
MsgID.GLOBAL_POSITION,0.0000000,-122.3974170,37.7924989,4.9580000
MsgID.LOCAL_VELOCITY,0.0000000,1.7500000,1.8900000,-0.1800000
MsgID.LOCAL_POSITION,33.7850000,2.0526626,3.2186987,-4.9588394
MsgID.LOCAL_VELOCITY,33.7850000,1.7549324,1.8984957,-0.1845786
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974120,37.7925050,4.9580000
MsgID.LOCAL_VELOCITY,0.0000000,1.8100000,1.6400000,-0.1600000
MsgID.LOCAL_POSITION,34.0350000,2.7330527,3.6716356,-4.9581981
MsgID.LOCAL_VELOCITY,34.0350000,1.8153400,1.6491803,-0.1610723
MsgID.GLOBAL_POSITION,0.0000000,-122.3974082,37.7925087,4.9590000
MsgID.LOCAL_VELOCITY,0.0000000,1.1200000,1.1100000,-0.2200000
MsgID.LOCAL_POSITION,34.2860000,3.1427541,4.0089178,-4.9596815
MsgID.LOCAL_VELOCITY,34.2860000,1.1200678,1.1127616,-0.2217186
MsgID.GLOBAL_POSITION,0.0000000,-122.3974048,37.7925107,4.9610000
MsgID.LOCAL_VELOCITY,0.0000000,1.1300000,1.3200000,-0.1700000
MsgID.LOCAL_POSITION,34.5370000,3.3657346,4.3092065,-4.9610586
MsgID.LOCAL_VELOCITY,34.5370000,1.1366094,1.3233584,-0.1718911
MsgID.GLOBAL_POSITION,0.0000000,-122.3974003,37.7925124,4.9670000
MsgID.LOCAL_VELOCITY,0.0000000,1.5200000,1.6500000,-0.1400000
MsgID.LOCAL_POSITION,34.7870000,3.5492830,4.7087717,-4.9678235
MsgID.LOCAL_VELOCITY,34.7870000,1.5279408,1.6532360,-0.1480826
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973950,37.7925175,4.9750000
MsgID.LOCAL_VELOCITY,0.0000000,2.1100000,1.9800000,-0.0700000
MsgID.LOCAL_POSITION,35.0370000,4.1247072,5.1792965,-4.9750156
MsgID.LOCAL_VELOCITY,35.0370000,2.1164250,1.9868468,-0.0714081
MsgID.GLOBAL_POSITION,0.0000000,-122.3973887,37.7925225,4.9740000
MsgID.LOCAL_VELOCITY,0.0000000,1.9000000,1.7100000,-0.0300000
MsgID.LOCAL_POSITION,35.2870000,4.6807432,5.7378283,-4.9745555
MsgID.LOCAL_VELOCITY,35.2870000,1.9056607,1.7146118,-0.0363327
MsgID.GLOBAL_POSITION,0.0000000,-122.3973842,37.7925250,4.9860000
MsgID.LOCAL_VELOCITY,0.0000000,1.1300000,1.1100000,-0.0500000
MsgID.LOCAL_POSITION,35.5380000,4.9556799,6.1374183,-4.9864926
MsgID.LOCAL_VELOCITY,35.5380000,1.1341180,1.1198421,-0.0544406
MsgID.GLOBAL_POSITION,0.0000000,-122.3973833,37.7925261,4.9870000
MsgID.LOCAL_VELOCITY,0.0000000,1.3100000,1.2300000,0.0600000
MsgID.LOCAL_POSITION,35.7880000,5.0717955,6.2185326,-4.9873095
MsgID.LOCAL_VELOCITY,35.7880000,1.3170360,1.2345757,0.0683938
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973802,37.7925294,4.9760000
MsgID.LOCAL_VELOCITY,0.0000000,1.6200000,1.3100000,0.0100000
MsgID.LOCAL_POSITION,36.0380000,5.4441886,6.4959011,-4.9766140
MsgID.LOCAL_VELOCITY,36.0380000,1.6212163,1.3174258,0.0146148
MsgID.GLOBAL_POSITION,0.0000000,-122.3973744,37.7925338,4.9850000
MsgID.LOCAL_VELOCITY,0.0000000,1.3500000,1.1700000,0.0100000
MsgID.LOCAL_POSITION,36.2880000,5.9260988,7.0119166,-4.9854732
MsgID.LOCAL_VELOCITY,36.2880000,1.3517188,1.1704162,0.0154201
MsgID.GLOBAL_POSITION,0.0000000,-122.3973719,37.7925384,4.9780000
MsgID.LOCAL_VELOCITY,0.0000000,1.4400000,1.3700000,-0.0100000
MsgID.LOCAL_POSITION,36.5380000,6.4469876,7.2346940,-4.9787087
MsgID.LOCAL_VELOCITY,36.5380000,1.4467357,1.3747269,-0.0110629
MsgID.GLOBAL_POSITION,0.0000000,-122.3973681,37.7925406,4.9820000
MsgID.LOCAL_VELOCITY,0.0000000,1.5800000,1.7000000,-0.0400000
MsgID.LOCAL_POSITION,36.7880000,6.6914320,7.5725107,-4.9821639
MsgID.LOCAL_VELOCITY,36.7880000,1.5810009,1.7026709,-0.0485328
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973620,37.7925456,4.9750000
MsgID.LOCAL_VELOCITY,0.0000000,1.9700000,2.1200000,-0.0700000
MsgID.LOCAL_POSITION,37.0380000,7.2432957,8.1159296,-4.9758201
MsgID.LOCAL_VELOCITY,37.0380000,1.9723655,2.1262503,-0.0725491
MsgID.GLOBAL_POSITION,0.0000000,-122.3973561,37.7925506,4.9740000
MsgID.LOCAL_VELOCITY,0.0000000,1.7400000,1.8600000,-0.0500000
MsgID.LOCAL_POSITION,37.2880000,7.8016009,8.6334658,-4.9743423
MsgID.LOCAL_VELOCITY,37.2880000,1.7420338,1.8630246,-0.0503714
MsgID.GLOBAL_POSITION,0.0000000,-122.3973532,37.7925526,4.9820000
MsgID.LOCAL_VELOCITY,0.0000000,1.0100000,1.0800000,-0.0900000
MsgID.LOCAL_POSITION,37.5380000,8.0227060,8.8926220,-4.9821568
MsgID.LOCAL_VELOCITY,37.5380000,1.0142086,1.0806862,-0.0974862
MsgID.GLOBAL_POSITION,0.0000000,-122.3973524,37.7925538,4.9930000
MsgID.LOCAL_VELOCITY,0.0000000,1.3600000,0.8000000,-0.0100000
MsgID.LOCAL_POSITION,37.7880000,8.1492739,8.9693899,-4.9931817
MsgID.LOCAL_VELOCITY,37.7880000,1.3674299,0.8037549,-0.0124685
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973483,37.7925571,4.9940000
MsgID.LOCAL_VELOCITY,0.0000000,2.4200000,1.2700000,0.0100000
MsgID.LOCAL_POSITION,38.0380000,8.5231600,9.3311987,-4.9949951
MsgID.LOCAL_VELOCITY,38.0380000,2.4278793,1.2723745,0.0114496
MsgID.GLOBAL_POSITION,0.0000000,-122.3973422,37.7925634,4.9940000
MsgID.LOCAL_VELOCITY,0.0000000,2.6400000,1.2300000,0.0700000
MsgID.LOCAL_POSITION,38.2880000,9.2196665,9.8692551,-4.9943099
MsgID.LOCAL_VELOCITY,38.2880000,2.6493773,1.2347624,0.0799851
MsgID.GLOBAL_POSITION,0.0000000,-122.3973417,37.7925710,4.9900000
MsgID.LOCAL_VELOCITY,0.0000000,1.8700000,0.7200000,0.0700000
MsgID.LOCAL_POSITION,38.5390000,10.0635843,9.9188194,-4.9903269
MsgID.LOCAL_VELOCITY,38.5390000,1.8738229,0.7290035,0.0795501
MsgID.GLOBAL_POSITION,0.0000000,-122.3973405,37.7925730,4.9940000
MsgID.LOCAL_VELOCITY,0.0000000,0.7200000,0.3100000,0.0400000
MsgID.LOCAL_POSITION,38.7900000,10.2915850,10.0207081,-4.9943590
MsgID.LOCAL_VELOCITY,38.7900000,0.7254368,0.3101646,0.0466816
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973388,37.7925727,4.8440000
MsgID.LOCAL_VELOCITY,0.0000000,0.4700000,0.2100000,1.4200000
MsgID.LOCAL_POSITION,39.0400000,10.2575073,10.1772738,-4.8443899
MsgID.LOCAL_VELOCITY,39.0400000,0.4763899,0.2174236,1.4298812
MsgID.GLOBAL_POSITION,0.0000000,-122.3973383,37.7925735,4.4380000
MsgID.LOCAL_VELOCITY,0.0000000,0.3100000,0.1100000,1.8800000
MsgID.LOCAL_POSITION,39.2900000,10.3422947,10.2191887,-4.4386277
MsgID.LOCAL_VELOCITY,39.2900000,0.3135718,0.1170116,1.8861072
MsgID.GLOBAL_POSITION,0.0000000,-122.3973381,37.7925751,3.9620000
MsgID.LOCAL_VELOCITY,0.0000000,0.1500000,0.0400000,2.0200000
MsgID.LOCAL_POSITION,39.5410000,10.5189333,10.2379122,-3.9628005
MsgID.LOCAL_VELOCITY,39.5410000,0.1568746,0.0447864,2.0243595
MsgID.GLOBAL_POSITION,0.0000000,-122.3973388,37.7925767,3.4680000
MsgID.LOCAL_VELOCITY,0.0000000,0.0500000,0.0000000,2.0400000
MsgID.LOCAL_POSITION,39.7920000,10.6960859,10.1783438,-3.4686496
MsgID.LOCAL_VELOCITY,39.7920000,0.0522656,0.0051243,2.0447228
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973400,37.7925762,2.9740000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-0.0100000,2.0500000
MsgID.LOCAL_POSITION,40.0430000,10.6412544,10.0709152,-2.9748878
MsgID.LOCAL_VELOCITY,40.0430000,-0.0109256,-0.0102367,2.0580213
MsgID.GLOBAL_POSITION,0.0000000,-122.3973399,37.7925758,2.4810000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0300000,0.0000000,2.0300000
MsgID.LOCAL_POSITION,40.2930000,10.5929050,10.0789995,-2.4818797
MsgID.LOCAL_VELOCITY,40.2930000,-0.0390001,-0.0091208,2.0303769
MsgID.GLOBAL_POSITION,0.0000000,-122.3973396,37.7925771,1.9930000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0400000,0.0000000,2.0600000
MsgID.LOCAL_POSITION,40.5430000,10.7467775,10.1050415,-1.9933054
MsgID.LOCAL_VELOCITY,40.5430000,-0.0443707,-0.0062010,2.0629699
MsgID.GLOBAL_POSITION,0.0000000,-122.3973387,37.7925764,1.4980000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0500000,0.0000000,2.0700000
MsgID.LOCAL_POSITION,40.7930000,10.6662903,10.1867962,-1.4980413
MsgID.LOCAL_VELOCITY,40.7930000,-0.0583319,-0.0065152,2.0756609
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973368,37.7925742,1.0020000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0600000,-0.0100000,2.0500000
MsgID.LOCAL_POSITION,41.0430000,10.4204016,10.3527317,-1.0020384
MsgID.LOCAL_VELOCITY,41.0430000,-0.0629234,-0.0168733,2.0581901
MsgID.GLOBAL_POSITION,0.0000000,-122.3973397,37.7925752,0.5070000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0400000,-0.0300000,2.0000000
MsgID.LOCAL_POSITION,41.2930000,10.5312033,10.0974236,-0.5073423
MsgID.LOCAL_VELOCITY,41.2930000,-0.0474845,-0.0337749,2.0038559
MsgID.GLOBAL_POSITION,0.0000000,-122.3973387,37.7925764,0.1510000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,41.5440000,10.6611090,10.1811409,-0.1518857
MsgID.LOCAL_VELOCITY,41.5440000,-0.0014425,-0.0024858,0.0001466
MsgID.GLOBAL_POSITION,0.0000000,-122.3973374,37.7925753,0.1540000
